Unnamed: 0,y_true,y_pred
0,825532764,826060000.0
1,701729206,701280000.0
2,1004558444,1003458500.0
3,2923706026,2921924600.0
4,1518815515,393235900.0
5,783100000,780834200.0
6,2052415039,2067029200.0
7,100853753,100749890.0
8,772776600,772298900.0
9,213900000,215007360.0
10,677387716,681481150.0
11,976475550,970908350.0
12,585174222,-8200230.0
13,425368238,736677250.0
14,28341469,27141142.0
15,2800000000,2777953300.0
16,463517383,463255400.0
17,2264162353,550211100.0
18,1074458282,1078890400.0
19,871368364,943422800.0
20,1118888979,1116919200.0
21,294800000,294854940.0
22,392000000,392428640.0
23,1405403694,1408103400.0
24,1155046416,1160852100.0
25,1081041287,2092764400.0
26,1215577205,601864500.0
27,1349926083,1351335000.0
28,676343174,676485060.0
29,378858340,380706370.0
30,321457747,769946240.0
31,694394724,694548200.0
32,880166924,783341250.0
33,876688482,879318800.0
34,863756051,861230100.0
35,926287400,926911360.0
36,370569774,372699550.0
37,746846894,936378750.0
38,789804554,788519040.0
39,449326618,634740100.0
40,623933331,626560700.0
41,374218673,374847360.0
42,855301806,855525000.0
43,857611174,855850800.0
44,1671537444,1670281600.0
45,327311859,706037100.0
46,895921036,897174660.0
47,655011224,656294800.0
48,1341511219,534638620.0
49,775398007,775752060.0
